angle,speed_l,speed_r,v_pwm,w_pwm
0.000000,55.104721,354989.000000,0.005006,0.062815
0.000000,55.105110,354990.000000,0.004984,0.078073
0.000000,55.105492,354991.000000,0.004907,0.078073
0.000000,55.105309,354992.000000,0.005028,-0.036368
0.000000,55.105469,354993.000000,0.004997,0.032297
0.000000,55.104969,354994.000000,0.005530,-0.089773
0.000000,55.104408,354995.000000,0.004999,-0.112662
0.000000,55.104149,354996.000000,0.005116,-0.051626
0.000000,55.104450,354997.000000,0.004926,0.062815
0.000000,55.105179,354998.000000,0.004976,0.146738
0.000000,55.104568,354999.000000,0.004794,-0.127920
0.000000,55.104469,355000.000000,0.004776,-0.021109
0.000000,55.104851,355001.000000,0.004942,0.078073
0.000000,55.104671,355002.000000,0.004994,-0.036368
0.000000,55.105251,355003.000000,0.004995,0.116220
0.000000,55.105148,355004.000000,0.004838,-0.021109
0.000000,55.106060,355005.000000,0.004942,0.184885
0.000000,55.105961,355006.000000,0.004894,-0.021109
0.000000,55.105560,355007.000000,0.004938,-0.082144
0.000000,55.105450,355008.000000,0.005048,-0.021109
0.000000,55.105759,355009.000000,0.004983,0.062815
0.000000,55.105961,355010.000000,0.004965,0.039926
0.000000,55.105701,355011.000000,0.005018,-0.051626
0.000000,55.106319,355012.000000,0.005022,0.123850
0.000000,55.106110,355013.000000,0.004805,-0.043997
0.000000,55.106430,355014.000000,0.005105,0.062815
0.000000,55.106651,355015.000000,0.006570,0.032297
0.000000,55.106621,355016.000000,0.005320,-0.005850
0.000000,55.107021,355017.000000,0.005112,0.078073
0.000000,55.105652,355018.000000,0.005023,-0.272879
0.000000,55.106178,355019.000000,0.004868,0.108591
0.000000,55.106590,355020.000000,0.004846,0.085703
0.000000,55.107021,355021.000000,0.004949,0.085703
0.000000,55.107399,355022.000000,0.004946,0.078073
0.000000,55.107601,355023.000000,0.004901,0.039926
0.000000,55.107948,355024.000000,0.004995,0.070444
0.000000,55.108261,355025.000000,0.005006,0.062815
0.000000,55.108910,355026.000000,0.004965,0.131479
0.000000,55.109581,355027.000000,0.004838,0.139108
0.000000,55.109921,355028.000000,0.004784,0.070444
0.000000,55.109852,355029.000000,0.004988,-0.013479
0.000000,55.109970,355030.000000,0.004999,0.024668
0.000000,55.109829,355031.000000,0.004954,-0.028738
0.000000,55.110069,355032.000000,0.005082,0.047556
0.000000,55.110310,355033.000000,0.004964,0.047556
0.000000,55.110630,355034.000000,0.005151,0.062815
0.000000,55.110760,355035.000000,0.005252,0.024668
0.000000,55.111221,355036.000000,0.005344,0.085703
0.000000,55.110889,355037.000000,0.004983,-0.066885
0.000000,55.110180,355038.000000,0.004927,-0.143179
0.000000,55.110229,355039.000000,0.004777,0.009409
0.000000,55.109341,355040.000000,0.005150,-0.173697
0.000000,55.109459,355041.000000,0.004847,0.024668
0.000000,55.109810,355042.000000,0.005020,0.070444
0.000000,55.110050,355043.000000,0.004989,0.047556
0.000000,55.109638,355044.000000,0.004987,-0.082144
0.000000,55.109192,355045.000000,0.005022,-0.089773
0.000000,55.109650,355046.000000,0.004963,0.093332
0.000000,55.110352,355047.000000,0.005011,0.139108
0.000000,55.110821,355048.000000,0.004732,0.100961
0.000000,55.110828,355049.000000,0.004749,0.001779
0.000000,55.110729,355050.000000,0.004939,-0.021109
0.000000,55.110020,355051.000000,0.006275,-0.112662
0.000000,55.109280,355052.000000,0.004953,-0.150808
0.000000,55.109211,355053.000000,0.005004,-0.013479
0.000000,55.109600,355054.000000,0.004973,0.078073
0.000000,55.110600,355055.000000,0.005402,0.184885
0.000000,55.110470,355056.000000,0.006158,-0.021109
0.000000,55.110668,355057.000000,0.005020,0.039926
0.000000,55.110451,355058.000000,0.004961,-0.043997
0.000000,55.110989,355059.000000,0.004967,0.108591
0.000000,55.111149,355060.000000,0.004813,0.032297
0.000000,55.110779,355061.000000,0.004886,-0.074515
0.000000,55.110149,355062.000000,0.004975,-0.127920
0.000000,55.110779,355063.000000,0.004818,0.131479
0.000000,55.110199,355064.000000,0.004854,-0.120291
0.000000,55.109661,355065.000000,0.004767,-0.112662
0.000000,55.109261,355066.000000,0.004811,-0.082144
0.000000,55.109749,355067.000000,0.005280,0.093332
0.000000,55.110531,355068.000000,0.005056,0.154367
0.000000,55.110802,355069.000000,0.004826,0.055185
0.000000,55.111149,355070.000000,0.004919,0.070444
0.000000,55.111721,355071.000000,0.004933,0.116220
0.000000,55.111839,355072.000000,0.004812,0.024668
0.000000,55.112080,355073.000000,0.005165,0.047556
0.000000,55.111408,355074.000000,0.004995,-0.135550
0.000000,55.110600,355075.000000,0.005128,-0.158438
0.000000,55.110722,355076.000000,0.004984,0.024668
0.000000,55.110970,355077.000000,0.005307,0.047556
0.000000,55.110939,355078.000000,0.004942,-0.005850
0.000000,55.111500,355079.000000,0.005128,0.108591
0.000000,55.111912,355080.000000,0.004863,0.085703
0.000000,55.112221,355081.000000,0.004955,0.062815
0.000000,55.112461,355082.000000,0.004958,0.047556
0.000000,55.112919,355083.000000,0.004912,0.093332
0.000000,55.112591,355084.000000,0.004909,-0.066885
0.000000,55.112030,355085.000000,0.004993,-0.112662
0.000000,55.112320,355086.000000,0.006128,0.047556
0.000000,55.112740,355087.000000,0.004948,0.085703
0.000000,55.113468,355088.000000,0.004967,0.146738
0.000000,55.112530,355089.000000,0.004780,-0.196585
0.000000,55.112911,355090.000000,0.004811,0.078073
0.000000,55.114189,355091.000000,0.005048,0.253549
0.000000,55.114269,355092.000000,0.004885,0.017038
0.000000,55.114239,355093.000000,0.005084,-0.005850
0.000000,55.114250,355094.000000,0.005126,0.001779
0.000000,55.114639,355095.000000,0.004968,0.078073
0.000000,55.115311,355096.000000,0.005375,0.123850
0.000000,55.115662,355097.000000,0.006335,0.055185
0.000000,55.115459,355098.000000,0.005366,-0.036368
0.000000,55.115360,355099.000000,0.004956,-0.021109
0.000000,55.115440,355100.000000,0.004991,0.017038
0.000000,55.115749,355101.000000,0.004899,0.062815
0.000000,55.115299,355102.000000,0.005012,-0.089773
0.000000,55.116100,355103.000000,0.004888,0.161997
0.000000,55.116619,355104.000000,0.004824,0.108591
0.000000,55.116482,355105.000000,0.004863,-0.028738
0.000000,55.116718,355106.000000,0.005030,0.047556
0.000000,55.116692,355107.000000,0.004977,-0.005850
0.000000,55.118050,355108.000000,0.005201,0.261179
0.000000,55.118790,355109.000000,0.004785,0.154367
0.000000,55.119389,355110.000000,0.004880,0.123850
0.000000,55.119431,355111.000000,0.004985,0.009409
0.000000,55.118790,355112.000000,0.005066,-0.127920
0.000000,55.118870,355113.000000,0.005019,0.017038
0.000000,55.118568,355114.000000,0.005045,-0.059256
0.000000,55.118500,355115.000000,0.004959,-0.013479
0.000000,55.118351,355116.000000,0.005420,-0.028738
0.000000,55.118679,355117.000000,0.005292,0.062815
0.000000,55.119148,355118.000000,0.005019,0.093332
0.000000,55.119228,355119.000000,0.004974,0.017038
0.000000,55.120121,355120.000000,0.004987,0.177255
0.000000,55.120121,355121.000000,0.004841,0.001779
0.000000,55.119991,355122.000000,0.006243,-0.021109
0.000000,55.119389,355123.000000,0.004980,-0.120291
0.000000,55.118919,355124.000000,0.004859,-0.097403
0.000000,55.119122,355125.000000,0.005027,0.039926
0.000000,55.119362,355126.000000,0.004983,0.047556
0.000000,55.119591,355127.000000,0.004963,0.047556
0.000000,55.119301,355128.000000,0.005026,-0.059256
0.000000,55.119190,355129.000000,0.004953,-0.021109
0.000000,55.119579,355130.000000,0.004947,0.078073
0.000000,55.120201,355131.000000,0.005056,0.123850
0.000000,55.120171,355132.000000,0.005035,-0.005850
0.000000,55.120850,355133.000000,0.005178,0.131479
0.000000,55.121052,355134.000000,0.004848,0.039926
0.000000,55.121361,355135.000000,0.004946,0.062815
0.000000,55.121250,355136.000000,0.005328,-0.021109
0.000000,55.121529,355137.000000,0.005173,0.055185
0.000000,55.122452,355138.000000,0.004949,0.184885
0.000000,55.122681,355139.000000,0.004840,0.047556
0.000000,55.122681,355140.000000,0.004914,0.001779
0.000000,55.122730,355141.000000,0.004926,0.009409
0.000000,55.122860,355142.000000,0.005113,0.024668
0.000000,55.122570,355143.000000,0.004890,-0.059256
0.000000,55.122311,355144.000000,0.004949,-0.051626
0.000000,55.122662,355145.000000,0.004931,0.070444
0.000000,55.122440,355146.000000,0.004981,-0.043997
0.000000,55.122410,355147.000000,0.005004,-0.005850
0.000000,55.122379,355148.000000,0.005088,-0.005850
0.000000,55.123089,355149.000000,0.005109,0.139108
0.000000,55.123211,355150.000000,0.004767,0.024668
0.000000,55.123440,355151.000000,0.005002,0.047556
0.000000,55.123810,355152.000000,0.005131,0.070444
0.000000,55.123329,355153.000000,0.004932,-0.097403
0.000000,55.123112,355154.000000,0.004948,-0.043997
0.000000,55.123348,355155.000000,0.005023,0.047556
0.000000,55.123322,355156.000000,0.005388,-0.005850
0.000000,55.123650,355157.000000,0.005352,0.062815
0.000000,55.123421,355158.000000,0.006334,-0.036368
0.000000,55.124531,355159.000000,0.004944,0.223032
0.000000,55.124649,355160.000000,0.004871,0.024668
0.000000,55.124882,355161.000000,0.004914,0.047556
0.000000,55.124401,355162.000000,0.004946,-0.097403
